trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.07775403828628596}",20,11,17.247202890372357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.07658772771199168}",20,6,25.06140786130655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.0754389117963118}",25,4,24.243241966694363,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.07430732811936712}",20,16,7.807924954423154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.07319271819757661}",35,8,40.11795846772893,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.07209482742461297}",20,0,37.89461812370355,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.07101340501324377}",20,12,13.253371459596552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.06994820393804511}",20,14,12.935542402131084,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.06889898087897443}",25,13,20.85848067651631,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.06786549616578982}",25,11,17.600649124270827,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.06684751372330297}",20,15,8.988224763166954,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.06584480101745342}",35,2,43.603821549864456,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.06485712900219162}",20,7,24.343939745119883,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.06388427206715874}",30,0,-11.718821072385722,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.06292600798615136}",30,16,26.570421531692187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.06198211786635909}",20,10,19.160458775179166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.061052386098363706}",25,11,27.787162875769816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06013660030688825}",20,16,5.180478270497398,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.05923455130228492}",20,5,21.282674065715373,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05834603303275065}",25,11,23.91564698145188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.05747084253725939}",20,9,21.742655221226084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.0566087798992005}",20,4,27.06870166946095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.05575964820071249}",25,14,24.070448085671664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.0549232534777018}",30,15,24.49123474309998,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.054099404675536276}",20,14,11.816563407486907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.05328791360540323}",20,0,19.105498847731887,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.05248859490132218}",25,7,26.053631191142475,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.05170126597780235}",20,0,30.973050543274443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.05092574698813531}",20,0,20.65416274950836,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.05016186078331328}",25,3,18.56580134814826,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.04940943287156358}",25,17,16.029841334842107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
